j,Symbol,Name,SVFA,SB,SMEOL,CB,XB,"XB,e",SU,CU,XU,"XPHA,PAO","XPHA,GAO",XE,"XE,ana",XOHO,XCASTO,XMEOLO,XAOB,XNOB,XAMX,XAMETO,XHMETO,XALGAE,SNHx,SNO2,SNO3,SN2,"SN,B","XN,B","XN,Be","XN,U",SPO4,XPP,"SP,B","XP,B","XP,Be","XP,U",SO2,SCH4,SH2,SCO2,XINORG,SCAT,SAN,SCa,SMg,SK,SFe2,"XHFO,H","XHFO,L","XHFO,old","XHFO,H,P","XHFO,L,P","XHFO,H,P,old","XHFO,L,P,old","XHAO,H","XHAO,L","XHAO,old","XHAO,H,P","XHAO,L,P","XHAO,H,P,old","XHAO,L,P,old",XCaCO3,XACP,XBSH,XSTR,XVivi,SPFOA,XPFOA,SPFOS,XPFOS,SH,SALPHA,SORPswitch,GCO2,GCH4,GH2,GO2,GNH3,GN2,"GCO2,atm","GCH4,atm","GH2,atm","GO2,atm","GNH3,atm","GN2,atm",Rate,Unit,Reaction,Rule
1,r1,"OHO growth on VFAs, O2","-1/YOHO,VFA,ox",,,,,,,,,,,,,1,,,,,,,,,"-iN,BIO",,,,,,,,"-iP,BIO",,,,,,"-(1-YOHO,VFA,ox)/YOHO,VFA,ox",,,"iCIT,VFA/YOHO,VFA,ox-iCIT,BIO",iINORG,"-iINORG*(1-iCa,INORG*(AMCa+2*AMCl)/AMCa-iMg,INORG*(AMMg+2*AMCl)/AMMg)*fNa","-iINORG*(iCa,INORG*(2*AMCl)/AMCa+iMg,INORG*(2*AMCl)/AMMg)-iINORG*(1-iCa,INORG*(AMCa+2*AMCl)/AMCa-iMg,INORG*(AMMg+2*AMCl)/AMMg)*(1-fNa)","-iINORG*iCa,INORG","-iINORG*iMg,INORG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"?OHO,T*XOHO*MsatSVFA,KVFA*MsatSO2,KO2,OHO*MsatSNHx,KNHx,BIO*MsatSPO4,KPO4,BIO*MsatSCAT,KCAT*MsatSAN,KAN*MsatSCa,KCa*MsatSMg,KMg*BellinhpH",g.m-3.d-1,,
2,r2,"OHO growth on VFAs, NO2","-1/YOHO,VFA,anox",,,,,,,,,,,,,1,,,,,,,,,"-iN,BIO","-(1-YOHO,VFA,anox)/(EEQN2,NO2*YOHO,VFA,anox)",,"(1-YOHO,VFA,anox)/(EEQN2,NO2*YOHO,VFA,anox)",,,,,"-iP,BIO",,,,,,,,,"iCIT,VFA/YOHO,VFA,anox-iCIT,BIO",iINORG,"-iINORG*(1-iCa,INORG*(AMCa+2*AMCl)/AMCa-iMg,INORG*(AMMg+2*AMCl)/AMMg)*fNa","-iINORG*(iCa,INORG*(2*AMCl)/AMCa+iMg,INORG*(2*AMCl)/AMMg)-iINORG*(1-iCa,INORG*(AMCa+2*AMCl)/AMCa-iMg,INORG*(AMMg+2*AMCl)/AMMg)*(1-fNa)","-iINORG*iCa,INORG","-iINORG*iMg,INORG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"?OHO,T*XOHO*ηOHO,anox,NO2red*MsatSVFA,KVFA*MsatSNO2,KNO2,OHO*(LoginhSNO3,KNO3,OHO*LoginhSVFA,KVFA,OHO,SNO2+LogsatSVFA,KVFA,OHO,SNO2)*MinhSO2,KO2,OHO*MsatSNHx,KNHx,BIO*MsatSPO4,KPO4,BIO*MsatSCAT,KCAT*MsatSAN,KAN*MsatSCa,KCa*MsatSMg,KMg*BellinhpH",g.m-3.d-1,,
3,r3,"OHO growth on VFAs, NO3","-1/YOHO,VFA,anox",,,,,,,,,,,,,1,,,,,,,,,"-iN,BIO","(1-YOHO,VFA,anox)/(EEQNO2,NO3*YOHO,VFA,anox)","-(1-YOHO,VFA,anox)/(EEQNO2,NO3*YOHO,VFA,anox)",,,,,,"-iP,BIO",,,,,,,,,"iCIT,VFA/YOHO,VFA,anox-iCIT,BIO",iINORG,"-iINORG*(1-iCa,INORG*(AMCa+2*AMCl)/AMCa-iMg,INORG*(AMMg+2*AMCl)/AMMg)*fNa","-iINORG*(iCa,INORG*(2*AMCl)/AMCa+iMg,INORG*(2*AMCl)/AMMg)-iINORG*(1-iCa,INORG*(AMCa+2*AMCl)/AMCa-iMg,INORG*(AMMg+2*AMCl)/AMMg)*(1-fNa)","-iINORG*iCa,INORG","-iINORG*iMg,INORG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"?OHO,T*XOHO*ηOHO,anox*MsatSVFA,KVFA*LogsatSNO3,KNO3,OHO*(LoginhSVFA,KVFA,OHO,SNO2+MinhSNO2,KNO2,OHO*LogsatSVFA,KVFA,OHO,SNO2)*MinhSO2,KO2,OHO*MsatSNHx,KNHx,BIO*MsatSPO4,KPO4,BIO*MsatSCAT,KCAT*MsatSAN,KAN*MsatSCa,KCa*MsatSMg,KMg*BellinhpH",g.m-3.d-1,,
4,r4,"OHO growth on SB, O2",,"-1/YOHO,SB,ox",,,,,,,,,,,,1,,,,,,,,,"-iN,BIO",,,,,,,,"-iP,BIO",,,,,,"-(1-YOHO,SB,ox)/YOHO,SB,ox",,,"iCIT,SB/YOHO,SB,ox-iCIT,BIO",iINORG,"-iINORG*(1-iCa,INORG*(AMCa+2*AMCl)/AMCa-iMg,INORG*(AMMg+2*AMCl)/AMMg)*fNa","-iINORG*(iCa,INORG*(2*AMCl)/AMCa+iMg,INORG*(2*AMCl)/AMMg)-iINORG*(1-iCa,INORG*(AMCa+2*AMCl)/AMCa-iMg,INORG*(AMMg+2*AMCl)/AMMg)*(1-fNa)","-iINORG*iCa,INORG","-iINORG*iMg,INORG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"?OHO,T*XOHO*MsatSB,KSB*MinhSVFA,KVFA*MsatSO2,KO2,OHO*MsatSNHx,KNHx,BIO*MsatSPO4,KPO4,BIO*MsatSCAT,KCAT*MsatSAN,KAN*MsatSCa,KCa*MsatSMg,KMg*BellinhpH",g.m-3.d-1,,
5,r5,"OHO growth on SB, NO2",,"-1/YOHO,SB,anox",,,,,,,,,,,,1,,,,,,,,,"-iN,BIO","-(1-YOHO,SB,anox)/(EEQN2,NO2*YOHO,SB,anox)",,"(1-YOHO,SB,anox)/(EEQN2,NO2*YOHO,SB,anox)",,,,,"-iP,BIO",,,,,,,,,"iCIT,SB/YOHO,SB,anox-iCIT,BIO",iINORG,"-iINORG*(1-iCa,INORG*(AMCa+2*AMCl)/AMCa-iMg,INORG*(AMMg+2*AMCl)/AMMg)*fNa","-iINORG*(iCa,INORG*(2*AMCl)/AMCa+iMg,INORG*(2*AMCl)/AMMg)-iINORG*(1-iCa,INORG*(AMCa+2*AMCl)/AMCa-iMg,INORG*(AMMg+2*AMCl)/AMMg)*(1-fNa)","-iINORG*iCa,INORG","-iINORG*iMg,INORG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"?OHO,T*XOHO*ηOHO,anox*MsatSB,KSB*MinhSVFA,KVFA*MsatSNO2,KNO2,OHO*MinhSO2,KO2,OHO*MsatSNHx,KNHx,BIO*MsatSPO4,KPO4,BIO*MsatSCAT,KCAT*MsatSAN,KAN*MsatSCa,KCa*MsatSMg,KMg*BellinhpH",g.m-3.d-1,,
6,r6,"OHO growth on SB, NO3",,"-1/YOHO,SB,anox",,,,,,,,,,,,1,,,,,,,,,"-iN,BIO","(1-YOHO,SB,anox)/(EEQNO2,NO3*YOHO,SB,anox)","-(1-YOHO,SB,anox)/(EEQNO2,NO3*YOHO,SB,anox)",,,,,,"-iP,BIO",,,,,,,,,"iCIT,SB/YOHO,SB,anox-iCIT,BIO",iINORG,"-iINORG*(1-iCa,INORG*(AMCa+2*AMCl)/AMCa-iMg,INORG*(AMMg+2*AMCl)/AMMg)*fNa","-iINORG*(iCa,INORG*(2*AMCl)/AMCa+iMg,INORG*(2*AMCl)/AMMg)-iINORG*(1-iCa,INORG*(AMCa+2*AMCl)/AMCa-iMg,INORG*(AMMg+2*AMCl)/AMMg)*(1-fNa)","-iINORG*iCa,INORG","-iINORG*iMg,INORG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"?OHO,T*XOHO*ηOHO,anox*MsatSB,KSB*MinhSVFA,KVFA*MsatSNO3,KNO3,OHO*MinhSO2,KO2,OHO*MinhSNO2,KNO2,OHO*MsatSNHx,KNHx,BIO*MsatSPO4,KPO4,BIO*MsatSCAT,KCAT*MsatSAN,KAN*MsatSCa,KCa*MsatSMg,KMg*BellinhpH",g.m-3.d-1,,
7,r7,"SB fermentation with high VFA (OHO growth, anaerobic)","(1-YOHO,SB,ana-YOHO,H2,ana,high)/YOHO,SB,ana","-1/YOHO,SB,ana",,,,,,,,,,,,1,,,,,,,,,"-iN,BIO",,,,,,,,"-iP,BIO",,,,,,,,"YOHO,H2,ana,high/YOHO,SB,ana","(iCIT,SB-iCIT,VFA*(1-YOHO,SB,ana-YOHO,H2,ana,high)-iCIT,BIO*YOHO,SB,ana)/YOHO,SB,ana",iINORG,"-iINORG*(1-iCa,INORG*(AMCa+2*AMCl)/AMCa-iMg,INORG*(AMMg+2*AMCl)/AMMg)*fNa","-iINORG*(iCa,INORG*(2*AMCl)/AMCa+iMg,INORG*(2*AMCl)/AMMg)-iINORG*(1-iCa,INORG*(AMCa+2*AMCl)/AMCa-iMg,INORG*(AMMg+2*AMCl)/AMMg)*(1-fNa)","-iINORG*iCa,INORG","-iINORG*iMg,INORG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"?FERM,OHO,T*XOHO*LogsatSVFA,KVFA,FERM*MsatSB,KSB,ana*MinhSO2,KO2,OHO*MinhSNO2,KNO2,OHO*MinhSNO3,KNO3,OHO*MsatSNHx,KNHx,BIO*MsatSPO4,KPO4,BIO*MsatSCAT,KCAT*MsatSAN,KAN*MsatSCa,KCa*MsatSMg,KMg*BellinhpH",g.m-3.d-1,,
8,r8,"SB fermentation with low VFA (OHO growth, anaerobic)","(1-YOHO,SB,ana-YOHO,H2,ana,low)/YOHO,SB,ana","-1/YOHO,SB,ana",,,,,,,,,,,,1,,,,,,,,,"-iN,BIO",,,,,,,,"-iP,BIO",,,,,,,,"YOHO,H2,ana,low/YOHO,SB,ana","(iCIT,SB-iCIT,VFA*(1-YOHO,SB,ana-YOHO,H2,ana,low)-iCIT,BIO*YOHO,SB,ana)/YOHO,SB,ana",iINORG,"-iINORG*(1-iCa,INORG*(AMCa+2*AMCl)/AMCa-iMg,INORG*(AMMg+2*AMCl)/AMMg)*fNa","-iINORG*(iCa,INORG*(2*AMCl)/AMCa+iMg,INORG*(2*AMCl)/AMMg)-iINORG*(1-iCa,INORG*(AMCa+2*AMCl)/AMCa-iMg,INORG*(AMMg+2*AMCl)/AMMg)*(1-fNa)","-iINORG*iCa,INORG","-iINORG*iMg,INORG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"?FERM,OHO,T*XOHO*LoginhSVFA,KVFA,FERM*MsatSB,KSB,ana*MinhSO2,KO2,OHO*MinhSNO2,KNO2,OHO*MinhSNO3,KNO3,OHO*MsatSNHx,KNHx,BIO*MsatSPO4,KPO4,BIO*MsatSCAT,KCAT*MsatSAN,KAN*MsatSCa,KCa*MsatSMg,KMg*MsatSCO2,KCO2,BIO*BellinhpH",g.m-3.d-1,,
9,r9,"OHO growth on SMEOL, O2",,,"-1/YOHO,SMEOL,ox",,,,,,,,,,,1,,,,,,,,,"-iN,BIO",,,,,,,,"-iP,BIO",,,,,,"-(1-YOHO,SMEOL,ox)/YOHO,SMEOL,ox",,,"iCIT,MEOL/YOHO,SMEOL,ox-iCIT,BIO",iINORG,"-iINORG*(1-iCa,INORG*(AMCa+2*AMCl)/AMCa-iMg,INORG*(AMMg+2*AMCl)/AMMg)*fNa","-iINORG*(iCa,INORG*(2*AMCl)/AMCa+iMg,INORG*(2*AMCl)/AMMg)-iINORG*(1-iCa,INORG*(AMCa+2*AMCl)/AMCa-iMg,INORG*(AMMg+2*AMCl)/AMMg)*(1-fNa)","-iINORG*iCa,INORG","-iINORG*iMg,INORG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"?OHO,T*XOHO*MsatSMEOL,KMEOL,OHO*MsatSO2,KO2,OHO*MsatSNHx,KNHx,BIO*MsatSPO4,KPO4,BIO*MsatSCAT,KCAT*MsatSAN,KAN*MsatSCa,KCa*MsatSMg,KMg*BellinhpH",g.m-3.d-1,,
10,r10,OHO decay,,,,,,1-fE,,,,,,fE,,-1,,,,,,,,,"-fE*(iN,XE-iN,BIO)",,,,,,"(1-fE)*iN,BIO",,,,,,"(1-fE)*iP,BIO",,,,,"(1-fE)*(iCIT,BIO-iCIT,XBe)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"bOHO,T*XOHO*(MsatSO2,KO2,OHO+ηb,anox*MsatSNO2,KNO2,OHO*MinhSO2,KO2,OHO+ηb,anox*MsatSNO3,KNO3,OHO*MinhSNO2,KNO2,OHO*MinhSO2,KO2,OHO)",g.m-3.d-1,,
