,Calculated variables,Type(Stoichiometric),,,,,
Symbol,Name,Expression,Value,Unit,Decimals,Rule,Principle/comment
XBIO,COD of all biomasses,XOHO+XNITO+XAMETO+XHMETO+XALGAE,750,g COD.m-3,1,,
XHET,COD of heterotrophs,XOHO + XAMETO,600,g COD.m-3,1,,
XCOD,COD of particulates,XBIO+XB+XU+XE,2000,g COD.m-3,1,,
SrbCOD,COD of readily biodegradable substrates,SB,5,g COD.m-3,1,,
XCsbCOD,COD of slowly biodegradable substrates,XB,50,g COD.m-3,1,,
"XVSS,BIO",Volatile suspended solids of biomasses,"XBIO/iCV,BIO",528.1690141,g VSS.m-3,1,,
XVSS,Volatile suspended solids (VSS),"XVSS,BIO+XB/iCV,XB+XU/iCV,XU+XE/iCV,XE + XMe,H2O,VSS",1446.521006,g VSS.m-3,1,,
XVS,Volatile solids (VS),"XVSS+SU/iCV,SU+SB/iCV,SB",1478.209278,g VS.m-3,1,,
"XVS,ult",Volatile ultimately degradable solids,"XU/iCV,XU+SU/iCV,SU",565.4593786,g VS.m-3,1,,
"XFe,ISS",Iron precipitates in ISS unit,"(1-fH2O,FeOH,VSS)*(XFeOH+XFeP)*MMFeOH3/AMFe+XFeP*fP,Fe*MMPO4/AMFe",3.80272E-49,g TSS.m-3,1,,
"XAl,ISS",Aluminium precipitates in ISS unit,"(1-fH2O,AlOH,VSS)*(XAlOH+XAlP)*MMAlOH3/AMAl+XAlP*fP,Al*MMPO4/AMAl",7.81961E-49,g TSS.m-3,1,,
"XMe,ISS",Metal precipitates in ISS unit,"XFe,ISS+XAl,ISS",1.16223E-48,g TSS.m-3,1,,
"XMe,H2O,VSS",Water associated with metals measured in VSS Test,"(fH2O,FeOH,VSS-fH2O,FeOH,TSS)*(XFeOH+XFeP)*MMFeOH3/AMFe+(fH2O,AlOH,VSS-fH2O,AlOH,TSS)*(XAlOH+XAlP)*MMAlOH3/AMAl",1.99732E-49,g VSS.m-3,1,,
"XFe,TSS",Iron precipitates in TSS unit,"(1-fH2O,FeOH,TSS)*(XFeOH+XFeP)*MMFeOH3/AMFe+XFeP*fP,Fe*MMPO4/AMFe",4.45322E-49,g TSS.m-3,1,,
"XAl,TSS",Aluminium precipitates in TSS unit,"(1-fH2O,AlOH,TSS)*(XAlOH+XAlP)*MMAlOH3/AMAl+XAlP*fP,Al*MMPO4/AMAl",9.16642E-49,g TSS.m-3,1,,
"XMe,TSS",Metal precipitates in TSS unit,"XFe,TSS+XAl,TSS",1.36196E-48,g TSS.m-3,1,,
"XMe,H2O,TSS",Water associated with metals measured in TSS Test,"fH2O,FeOH,TSS*(XFeOH+XFeP)*MMFeOH3/AMFe+fH2O,AlOH,TSS*(XAlOH+XAlP)*MMAlOH3/AMAl",9.73538E-50,g TSS.m-3,1,,
