,Ordinary heterotrophic organism kinetics (OHO),Type(Kinetic),,,,,,
Symbol,Name,Default,Low limit,High limit,Unit,Decimals,Rule,Principle/comment
?OHO,Maximum specific growth rate of OHOs,4.0,0,BigNumber,d-1,1,Key(980),
"KSB,AS",Half-saturation of readily biodegradable substrate for OHOs (AS),5.0,0,BigNumber,g COD.m-3,1,Key(970),
"KO2,OHO,AS",Half-saturation of O2 for OHOs (AS),0.15,0,BigNumber,g O2.m-3,2,Key(960),
"KNOx,OHO,AS",Half-saturation of NOx for OHOs (AS),0.03,0,BigNumber,g N.m-3,2,,
"¦ÇOHO,anox",Reduction factor for anoxic growth of OHOs,0.60,0,BigNumber,unitless,2,,
bOHO,Decay rate of OHOs,0.62,0,BigNumber,d-1,2,,
"?FERM,OHO",Fermentation growth rate of OHOs,0.4,0,BigNumber,d-1,1,,
,,,,,,,,
,Aerobic nitrifying organism kinetics (NITO),Type(Kinetic),,,,,,
Symbol,Name,Default,Low limit,High limit,Unit,Decimals,Rule,Principle/comment
?NITO,Maximum specific growth rate of NITOs,0.90,0,BigNumber,d-1,2,Key(1000),
"KNHx,NITO,AS",Half-saturation of NHx for NITOs (AS),0.7,0,BigNumber,g N.m-3,1,Key(990),
"KO2,NITO,AS",Half-saturation of O2 for NITOs (AS),0.50,0,BigNumber,g O2.m-3,2,Key(995),
"KNOx,NITO,AS",Half-saturation of NOx for NITOs (AS),0.03,0,BigNumber,g N.m-3,2,,
bNITO,Decay rate of NITOs,0.17,0,BigNumber,d-1,2,,
,,,,,,,,
,Acidoclastic methanogen kinetics (AMETO),Type(Kinetic),,,,,,
Symbol,Name,Default,Low limit,High limit,Unit,Decimals,Rule,Principle/comment
?AMETO,Maximum specific growth rate of AMETO,0.30,0,BigNumber,d-1,2,,
"KVFA,AMETO,AS",Half-saturation of VFA for AMETOs (AS),400,0,BigNumber,g COD.m-3,0,,
"KiO2,AMETO,AS",Half-inhibition of O2 for AMETOs (AS),0.05,0,BigNumber,g O2.m-3,2,,
"KNOx,AMETO,AS",Half-saturation of NOx for AMETOs (AS),0.05,0,BigNumber,g N.m-3,2,,
bAMETO,Decay rate of AMETOs,0.1,0,BigNumber,d-1,1,,
,,,,,,,,
,Hydrogenotrophic methanogen kinetics (HMETO),Type(Kinetic),,,,,,
Symbol,Name,Default,Low limit,High limit,Unit,Decimals,Rule,Principle/comment
?HMETO,Maximum specific growth rate of HMETO,1.30,0,BigNumber,d-1,2,,
"KH2,HMETO,AS",Half-saturation of H2 for HMETOs (AS),0.1,0,BigNumber,g COD.m-3,1,,
"KiO2,HMETO,AS",Half-inhibition of O2 for HMETOs (AS),0.05,0,BigNumber,g O2.m-3,2,,
"KNOx,HMETO,AS",Half-saturation of NOx for HMETOs (AS),0.05,0,BigNumber,g N.m-3,2,,
bHMETO,Decay rate of HMETOs,0.3,0,BigNumber,d-1,1,,
,,,,,,,,
,Photosynthetic organisms kinetics (ALGAE),Type(Kinetic),,,,,,
Symbol,Name,Default,Low limit,High limit,Unit,Decimals,Rule,Principle/comment
?ALGAE,Maximum specific growth rate of ALGAE,2.00,0,BigNumber,d-1,2,,
bALGAE,Decay rate of ALGAE,0.10,0,BigNumber,d-1,2,,
"KNOx,ALGAE",Half-saturation of NOx for ALGAE,0.50,0,BigNumber,g N.m-3,2,,
"KO2,ALGAE",Half-saturation of O2 for ALGAE,0.05,0,BigNumber,g O2.m-3,2,,
"KNHx,ALGAE",Half-saturation of NHx for ALGAE,0.70,0,BigNumber,g N.m-3,1,,
"KiNHx,ALGAE",Half-inhibition of NHx for ALGAE,0.50,0,BigNumber,g N.m-3,2,,
,,,,,,,,
,Common switches,Type(Kinetic),,,,,,
Symbol,Name,Default,Low limit,High limit,Unit,Decimals,Rule,Principle/comment
"KNHx,BIO,AS",Half-saturation of NHx as nutrient for biomasses (AS),0.005,0,BigNumber,g N.m-3,3,,
"KPO4,BIO,AS",Half-saturation of PO4 as nutrient for biomasses (AS),0.002,0,BigNumber,g P.m-3,3,,
"KALK,AS",Half-saturation of alkalinity (AS),0.001,0,BigNumber,eq ALK.L-1,3,,
"¦Çb,anox",Reduction factor for anoxic decay,0.50,0,BigNumber,unitless,2,,
"¦Çb,ana",Reduction factor for anaerobic decay,0.50,0,BigNumber,unitless,2,,
"mtox,ana,max",Toxicity factor of aerobes under anaerobic conditions (maximum),10.00,0,BigNumber,unitless,1,,
,,,,,,,,
,Conversion kinetics,Type(Kinetic),,,,,,
Symbol,Name,Default,Low limit,High limit,Unit,Decimals,Rule,Principle/comment
qHYD,Rate of hydrolysis,2.0,0,BigNumber,d-1,1,Key(930),
"KHYD,AS",Half-saturation of particulates in hydrolysis (AS),0.05,0,BigNumber,g COD.g COD-1,2,,
"XHET,HYD,lim",XHET limit concentration for hydrolysis,500.00,0,BigNumber,g COD.m-3,0,,
"LograngeXHET,HYD,lim",Effective range of logistic switch for XHET limit,0.10,0,2,-,2,,define range in percentage of XBIO limit
"KXB,HYD",Half-saturation of slowly biodegradable substrate in low biomass condition hydrolysis,500.0000,0,BigNumber,g COD.m-3,4,,"Goel et al, 1998"
qAMMON,Rate of ammonification,0.05,0,BigNumber,d-1,2,,
qXE,Rate of endogenous decay products conversion,0.007,0,BigNumber,d-1,3,,
qXU,Rate of particulate unbiodegradable organics conversion,0.000001,0,BigNumber,d-1,6,,
KXU,Half-saturation of particulate unbiodegradable organics,10,0,BigNumber,g COD.m-3,0,,
qASSIM,Rate of assimilative nutrient production,1.0,0,BigNumber,d-1,1,,
"KiNHx,ASSIM,AS",Half-inhibition of NHx in NOx assimilative reduction,0.0005,0,BigNumber,g N.m-3,4,,
"KNOx,ASSIM,AS",Half-saturation of NOx in NOx assimilative reduction (AS),0.001,0,BigNumber,g N.m-3,3,,
"qFeOH,PREC",Rate of FeOH precipitation,1.00,0,BigNumber,d-1,2,,
"qFeOH,DISSOL",Rate of FeOH dissolution,0.60,0,BigNumber,d-1,2,,
"qAlOH,PREC",Rate of AlOH precipitation,5.00,0,BigNumber,d-1,2,,
"qAlOH,DISSOL",Rate of AlOH dissolution,0.60,0,BigNumber,d-1,2,,
"qPFOA,SORP",Sorption rate of PFOA to solids,3.36,0,BigNumber,d-1,2,,"to be calibrated (default from Wei et al., DOI: 10.1016/j.ecoenv.2017.03.040)"
"qPFOS,SORP",Sorption rate of PFOS to solids,3.36,0,BigNumber,d-1,2,,"to be calibrated (default from Wei et al., DOI: 10.1016/j.ecoenv.2017.03.040)"
"KOC,PFOA,EQ",PFOA organic carbon/water equilibrium distribution coefficient,5000.00,0,BigNumber,L.kg-1,0,,"global average log KOC around 3.7 for sewage sludge (Zareitalabad et al., DOI: 10.1016/j.chemosphere.2013.02.024)"
"KOC,PFOS,EQ",PFOS organic carbon/water equilibrium distribution coefficient,20000.00,0,BigNumber,L.kg-1,0,,"global average log KOC around 4.3 for sewage sludge (Zareitalabad et al., DOI: 10.1016/j.chemosphere.2013.02.024)"
,,,,,,,,
,Parameters for half saturation coefficients in biofilms,Type(Kinetic),,,,,,
Symbol,Name,Default,Low limit,High limit,Unit,Decimals,Rule,Principle/comment
"fKS,biofilm",Diffusion factor for half-saturation coefficients,0.1,SmallNumber,1,unitless,2,,
,,,,,,,,
,Temperature dependency,Type(Kinetic),,,,,,
Symbol,Name,Default,Low limit,High limit,Unit,Decimals,Rule,Principle/comment
"¦È?,OHO",Arrhenius coefficient for OHO growth,1.04,0,BigNumber,unitless,3,,
"¦ÈFERM,OHO",Arrhenius coefficient for fermentation (OHO),1.04,0,BigNumber,unitless,3,,
"¦Èb,OHO",Arrhenius coefficient for OHO decay,1.03,0,BigNumber,unitless,3,,
"¦È?,NITO",Arrhenius coefficient for NITO growth,1.072,0,BigNumber,unitless,3,,
"¦Èb,NITO",Arrhenius coefficient for NITO decay,1.03,0,BigNumber,unitless,3,,
"¦È?,AMETO",Arrhenius coefficient for AMETO growth,1.03,0,BigNumber,unitless,3,,
"¦Èb,AMETO",Arrhenius coefficient for AMETO decay,1.03,0,BigNumber,unitless,3,,
"¦È?,HMETO",Arrhenius coefficient for HMETO growth,1.03,0,BigNumber,unitless,3,,
"¦Èb,HMETO",Arrhenius coefficient for HMETO decay,1.03,0,BigNumber,unitless,3,,
"¦È?,ALGAE",Arrhenius coefficient for ALGAE growth,1.040,0.000,BigNumber,unitless,3,,
